Estacao,Data,PREC,MONTH,YEAR,SEASON
83842,01/01/2010,4.3,JAN,2010,SUMMER
83842,02/01/2010,0,JAN,2010,SUMMER
83842,03/01/2010,7.2,JAN,2010,SUMMER
83842,04/01/2010,31.8,JAN,2010,SUMMER
83842,05/01/2010,16,JAN,2010,SUMMER
83842,06/01/2010,10.4,JAN,2010,SUMMER
83842,07/01/2010,12.5,JAN,2010,SUMMER
83842,08/01/2010,5.2,JAN,2010,SUMMER
83842,09/01/2010,0.9,JAN,2010,SUMMER
83842,10/01/2010,9.9,JAN,2010,SUMMER
83842,11/01/2010,7.7,JAN,2010,SUMMER
83842,12/01/2010,50.8,JAN,2010,SUMMER
83842,13/01/2010,8.4,JAN,2010,SUMMER
83842,14/01/2010,30.5,JAN,2010,SUMMER
83842,15/01/2010,6.3,JAN,2010,SUMMER
83842,16/01/2010,0,JAN,2010,SUMMER
83842,17/01/2010,4.1,JAN,2010,SUMMER
83842,18/01/2010,1.1,JAN,2010,SUMMER
83842,19/01/2010,9.8,JAN,2010,SUMMER
83842,20/01/2010,0,JAN,2010,SUMMER
83842,21/01/2010,25.9,JAN,2010,SUMMER
83842,22/01/2010,29,JAN,2010,SUMMER
83842,23/01/2010,13.8,JAN,2010,SUMMER
83842,24/01/2010,0,JAN,2010,SUMMER
83842,25/01/2010,0.6,JAN,2010,SUMMER
83842,26/01/2010,15.5,JAN,2010,SUMMER
83842,27/01/2010,21.1,JAN,2010,SUMMER
83842,28/01/2010,34.3,JAN,2010,SUMMER
83842,29/01/2010,58.3,JAN,2010,SUMMER
83842,30/01/2010,21.5,JAN,2010,SUMMER
83842,31/01/2010,0,JAN,2010,SUMMER
83842,01/02/2010,24.2,FEB,2010,SUMMER
83842,02/02/2010,0,FEB,2010,SUMMER
83842,03/02/2010,0,FEB,2010,SUMMER
83842,04/02/2010,0,FEB,2010,SUMMER
83842,05/02/2010,0,FEB,2010,SUMMER
83842,06/02/2010,0.1,FEB,2010,SUMMER
83842,07/02/2010,0,FEB,2010,SUMMER
83842,08/02/2010,0,FEB,2010,SUMMER
83842,09/02/2010,28.5,FEB,2010,SUMMER
83842,10/02/2010,41.4,FEB,2010,SUMMER
83842,11/02/2010,2.8,FEB,2010,SUMMER
83842,12/02/2010,1.7,FEB,2010,SUMMER
83842,13/02/2010,1.2,FEB,2010,SUMMER
83842,14/02/2010,3.9,FEB,2010,SUMMER
83842,15/02/2010,0,FEB,2010,SUMMER
83842,16/02/2010,0.9,FEB,2010,SUMMER
83842,17/02/2010,3.2,FEB,2010,SUMMER
